X (m),Y (m),Z (m),Ux (m/s),Uy (m/s),Uz (m/s),Gamma (dimensionless),Phi_v (W/m^3),KE_Flux_Density (W/m^2)
0.0151049,0.00302433,0.0160022,0.015329001,-0.06089703,0.030437414,0.0051375544,0.01745949,0.16992024
-0.0151456,0.00609547,0.0160003,0.0042644073,0.010882002,-0.014958136,0.7870387,0.053837012,0.0034202267
-0.0120542,0.0060374,0.0160121,0.008507389,0.015325626,-0.00850051,0.21590757,0.015962511,0.0036966077
-0.00901363,0.00601106,0.0160238,0.008836303,0.015065899,-0.008943969,0.059234258,0.0044756797,0.003777949
-0.00600244,0.00600249,0.0160324,0.00842388,0.011609201,-0.010545231,0.02829899,0.0015967274,0.0028211738
-0.00300036,0.00600086,0.016036,0.008880877,0.0070275175,-0.013210547,0.007859861,0.00041408915,0.0026342017
2.54739e-11,0.00600069,0.0160373,0.009958252,0.0034170724,-0.014768221,0.006600126,0.00039376246,0.002982992
0.00300036,0.00600086,0.016036,0.01113042,9.311788e-05,-0.013860782,0.05834994,0.003277966,0.0028088856
0.00600245,0.00600249,0.0160324,0.013305978,-0.006867348,-0.006320417,1.2459916,0.05349445,0.0021466617
0.00901364,0.00601107,0.0160238,0.020680625,-0.026827583,0.013705743,0.23488748,0.11460566,0.024395864
0.0120543,0.00603744,0.0160121,0.028014358,-0.05104562,0.03154032,0.01573229,0.045686055,0.14519837
0.0151456,0.00609547,0.0160003,0.027946664,-0.06431733,0.037872314,0.006774943,0.034298584,0.25312823
-0.0150636,0.00897731,0.016,0.0,0.0,0.0,0.0,0.93486834,0.0
-0.0121153,0.00909541,0.0160034,0.01627204,0.016726255,0.0045935297,0.8193273,0.11022399,0.006726493
-0.00904222,0.00904201,0.0160157,0.016517213,0.014473746,-0.0011542253,0.6199193,0.06593534,0.0053180587
-0.00600795,0.00901049,0.0160237,0.013858488,0.009619427,-0.0075399247,0.29105347,0.018363155,0.0031546017
-0.00300139,0.00900549,0.0160282,0.013063714,0.005568078,-0.010797269,0.2212387,0.012560409,0.0028386554
1.04803e-11,0.00900443,0.016031,0.014467494,0.0020913947,-0.0106987255,0.35985908,0.021391004,0.0029721365
0.00300139,0.00900549,0.0160282,0.01803491,-0.0022233156,-0.006171727,0.95423377,0.0674438,0.0035339247
0.00600795,0.00901048,0.0160237,0.027249131,-0.015885785,0.011124207,0.44978374,0.16827843,0.018706592
0.00904222,0.00904197,0.0160157,0.038817782,-0.038978174,0.032737147,0.05169484,0.13560621,0.1311603
0.0121155,0.00909563,0.0160034,0.044536144,-0.057955697,0.045250215,0.008368847,0.053164843,0.31763542
0.0150636,0.00897731,0.016,0.0,0.0,0.0,0.0,29.004496,0.0
-0.0123364,0.0123552,0.016,0.0,0.0,0.0,0.0,6.288455,0.0
-0.00906871,0.0120812,0.0160035,0.038508147,0.024800481,0.037681695,0.14064035,0.2934446,0.10432447
-0.00601594,0.0120296,0.0160121,0.04006215,0.018081859,0.028970504,0.23522681,0.34315732,0.072941795
-0.00300564,0.0120328,0.0160172,0.038855843,0.009462945,0.021674145,0.34498954,0.32469517,0.0470587
-6.69501e-11,0.0120254,0.0160194,0.03984225,0.00090007373,0.020147443,0.34761766,0.3095519,0.044524767
0.00300564,0.0120328,0.0160172,0.046138253,-0.011280061,0.028292874,0.17964593,0.3035614,0.0844888
0.00601594,0.0120296,0.0160121,0.056318577,-0.029367076,0.044035755,0.06253623,0.28870824,0.23083277
0.00906869,0.0120812,0.0160035,0.064158306,-0.04873822,0.057780363,0.0134351,0.13094509,0.48732457
0.0123364,0.0123552,0.016,0.0,0.0,0.0,0.0,23.166464,0.0
-0.0089736,0.0149074,0.016,0.0,0.0,0.0,0.0,28.489752,0.0
-0.00602234,0.0150515,0.0160003,0.06657091,0.024879884,0.07584269,0.02319342,0.2604173,0.5614034
-0.00302,0.0151165,0.016002,0.07456559,0.013756258,0.073233336,0.022774464,0.26678348,0.5857075
-1.46902e-10,0.0150887,0.0160024,0.07991103,0.001065898,0.07299523,0.022322835,0.28305745,0.6340087
